player,team,gp,g,a,tp,ppg,pim,+/-,link,season,league,playername,position
Philipp Wetzel (RW/C),EHC Biel-Bienne,50,3,9,12,0.24,22,-1,https://www.eliteprospects.com/player/18865/philipp-wetzel,2017-2018,nl,Philipp Wetzel (RW/C),RW/C
Benoit Jecker (D),EHC Biel-Bienne,50,2,10,12,0.24,31,21,https://www.eliteprospects.com/player/93844/benoit-jecker,2017-2018,nl,Benoit Jecker (D),D
Morris Trachsler (C),EHC Kloten,50,2,10,12,0.24,36,-12,https://www.eliteprospects.com/player/17596/morris-trachsler,2017-2018,nl,Morris Trachsler (C),C
Mikael Johansson (C/LW),totals,17,1,11,12,0.71,6,2,https://www.eliteprospects.com/player/2647/mikael-johansson,2017-2018,nl,Mikael Johansson (C/LW),C/LW
Gregory Sciaroni (LW/RW),HC Davos,38,8,3,11,0.29,18,-17,https://www.eliteprospects.com/player/11839/gregory-sciaroni,2017-2018,nl,Gregory Sciaroni (LW/RW),LW/RW
Marc Marchon (C/RW),EHC Kloten,46,6,5,11,0.24,30,-11,https://www.eliteprospects.com/player/95110/marc-marchon,2017-2018,nl,Marc Marchon (C/RW),C/RW
Goran Bezina (D),Genève-Servette HC,36,5,6,11,0.31,34,6,https://www.eliteprospects.com/player/12299/goran-bezina,2017-2018,nl,Goran Bezina (D),D
Noele Trisconi (RW),HC Ambrì-Piotta,41,4,7,11,0.27,0,-3,https://www.eliteprospects.com/player/100980/noele-trisconi,2017-2018,nl,Noele Trisconi (RW),RW
Laurent Meunier (C/RW),HC Fribourg-Gottéron,50,4,7,11,0.22,40,-9,https://www.eliteprospects.com/player/10841/laurent-meunier,2017-2018,nl,Laurent Meunier (C/RW),C/RW
Cody Almond (C/LW),Genève-Servette HC,28,6,4,10,0.36,100,-11,https://www.eliteprospects.com/player/11683/cody-almond,2017-2018,nl,Cody Almond (C/LW),C/LW
Fabian Schnyder (LW),EV Zug,50,6,4,10,0.20,12,-4,https://www.eliteprospects.com/player/18892/fabian-schnyder,2017-2018,nl,Fabian Schnyder (LW),LW
Spencer Abbott (W/C),EHC Kloten,13,5,5,10,0.77,2,-5,https://www.eliteprospects.com/player/24817/spencer-abbott,2017-2018,nl,Spencer Abbott (W/C),W/C
Robin Grossmann (D),EV Zug,18,5,5,10,0.56,33,4,https://www.eliteprospects.com/player/18512/robin-grossmann,2017-2018,nl,Robin Grossmann (D),D
Nathan Marchon (C/LW),HC Fribourg-Gottéron,40,5,5,10,0.25,2,-2,https://www.eliteprospects.com/player/116240/nathan-marchon,2017-2018,nl,Nathan Marchon (C/LW),C/LW
Steve Kellenberger (LW/D),EHC Kloten,46,5,5,10,0.22,20,1,https://www.eliteprospects.com/player/10618/steve-kellenberger,2017-2018,nl,Steve Kellenberger (LW/D),LW/D
Nolan Diem (C),EV Zug,34,4,6,10,0.29,43,5,https://www.eliteprospects.com/player/85349/nolan-diem,2017-2018,nl,Nolan Diem (C),C
Giovanni Morini (C/LW),HC Lugano,45,4,6,10,0.22,18,9,https://www.eliteprospects.com/player/147951/giovanni-morini,2017-2018,nl,Giovanni Morini (C/LW),C/LW
