player,position,link,total_gp,total_g,total_a,total_tp,total_ppg,total_pim,total_pm,nhle_g,nhle_a,nhle_tp,nhle_ppg,legacy_veteran,new_veteran,non_vet_ufa,league,call_up_send_down,active
Libor Sulak,D,/player/115708/libor-sulak,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,khl,—,False
Tony Sund,D,/player/115802/tony-sund,2,1,0,1,0.5,6,-2,0.4,0.0,0.4,0.2,False,False,False,liiga,—,True
Jared Spurgeon,D,/player/11611/jared-spurgeon,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Nathan Marchon,C/LW,/player/116240/nathan-marchon,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Nico Hischier,C/LW,/player/116244/nico-hischier,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Mick Köhler,D/C,/player/116428/mick-kohler,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Carter Verhaeghe,C/LW,/player/116967/carter-verhaeghe,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Justin Bailey,RW/LW,/player/116970/justin-bailey,1,2,1,3,3.0,0,3,1.2,0.6,1.9,1.9,False,False,False,khl,—,True
Dylan McLaughlin,C,/player/116983/dylan-mclaughlin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,shl,—,False
Bo Horvat,C,/player/117012/bo-horvat,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Jason Dickinson,C/LW,/player/117018/jason-dickinson,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Denis Malgin,C/W,/player/117376/denis-malgin,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nl,—,False
Stefan Loibl,RW/C,/player/117469/stefan-loibl,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,del,—,False
Jesper Bratt,LW/RW,/player/117698/jesper-bratt,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,False,False,False,nhl,—,False
Anton Slepyshev,LW,/player/117748/anton-slepyshev,2,1,0,1,0.5,0,-1,0.6,0.0,0.6,0.3,False,False,False,khl,—,True
